שם קובץ,סוג אלמנט,כמות נקודות,% נקודות עם זמן,"מרחק (ק""מ)",משך (דק'),"מהירות ממוצעת (קמ""ש)",מרווח ממוצע בין נקודות (מ'),creator,סיווג פעילות,סיווג מקור,הערות
הילה עבדון נחל כזיב ביצוע.gpx,trk (מסלול/הקלטה),10345,100.0,9.15,173.1,3.2,0.9,RunGap 958 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 3.2 קמ״ש
הילה פארק גורן.gpx,trk (מסלול/הקלטה),109,0.0,5.88,0.0,,54.4,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
הילה- עין טמיר- עין חרדלית- כזיב רגלי.gpx,trk (מסלול/הקלטה),356,0.0,9.76,0.0,,27.5,IsraelHikingMap,הליכה רגלית (לפי שם קובץ בלבד),תכנון מסלול,כמעט אין timestamps על הנקודות
הקלטה חירבת חממה -חניון העיקול מירון.gpx.gpx,trk (מסלול/הקלטה),14687,100.0,12.41,244.8,3.0,0.8,RunGap 946 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 3.0 קמ״ש
הקלטה צבעון חורפיש 2025-04-12 04_24_44.gpx,trk (מסלול/הקלטה),11773,100.0,7.9,196.2,2.4,0.7,RunGap 944 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 2.4 קמ״ש
הר אדיר נחל פער.gpx,trk (מסלול/הקלטה),115,100.0,6.95,187.6,2.2,61.0,Wikiloc - https://www.wikiloc.com,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 2.2 קמ״ש
הר חזקיהו -אילת.gpx,trk (מסלול/הקלטה),5404,100.0,21.98,137.2,9.6,4.1,StravatoGPX,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: StravatoGPX ; מבוסס מהירות ממוצעת מחושבת: 9.6 קמ״ש
חזור_נמרוד_בניאס.gpx,trk (מסלול/הקלטה),69,0.0,4.02,0.0,,59.1,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
חירבת רקית הר שוקף עוספיא.gpx,trk (מסלול/הקלטה),415,100.0,9.41,268.4,2.1,22.7,OruxMaps v.10.7.4 GP,הליכה רגלית,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 2.1 קמ״ש
חממה פיתול מניר.gpx,trk (מסלול/הקלטה),638,0.0,11.0,0.0,,17.3,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
חרבת חממה - חניון הפיתול ניר.gpx,trk (מסלול/הקלטה),110,0.0,10.02,0.0,,91.9,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
טיול 20 קמ.gpx,trk (מסלול/הקלטה),1315,0.0,21.66,0.0,,16.5,outdooractive - http://www.outdooractive.com,לא ברור,תכנון מסלול,"creator מזהה כלי תכנון ידוע: outdooractive - http://www.outdooractive.com ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
טיול מדרגות בחיפה הקלטה  2023-09-10 .gpx,trk (מסלול/הקלטה),4655,100.0,3.13,77.5,2.4,0.7,Sports Tracker,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 2.4 קמ״ש
טיול מדרגות בעליה 2.gpx,trk (מסלול/הקלטה),115,0.0,2.65,0.0,,23.2,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
טיול מדרגות חיפה בירידה.gpx,trk (מסלול/הקלטה),82,0.0,2.44,0.0,,30.1,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
טיול מדרגות חיפה בעליה.gpx,trk (מסלול/הקלטה),110,0.0,2.57,0.0,,23.6,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
