מקור,יעד,פעולה,הערה
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\‎⁨האיש שבקיר ומערת המקדש - אתר נָאקֶבּ 1⁩.gpx,C:\Users\yairr\GPX_files\‎⁨האיש שבקיר ומערת המקדש - אתר נָאקֶבּ 1⁩.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\‎⁨האיש שבקיר ומערת המקדש - אתר נָאקֶבּ 1⁩ (1).gpx,C:\Users\yairr\GPX_files\כפילויות\‎⁨האיש שבקיר ומערת המקדש - אתר נָאקֶבּ 1⁩ (1).gpx,כפילות (הועבר לתיקיית כפילויות),זהה בתוכן ל: G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\‎⁨האיש שבקיר ומערת המקדש - אתר נָאקֶבּ 1⁩.gpx
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\maagar_bental_ein_zivan_loop_refined.gpx,C:\Users\yairr\GPX_files\maagar_bental_ein_zivan_loop_refined.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\2026-01-28_07-56-11_hk_1769579771.gpx,C:\Users\yairr\GPX_files\2026-01-28_07-56-11_hk_1769579771.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\מאגר בנטל עין זיוון.gpx,C:\Users\yairr\GPX_files\כפילויות\מאגר בנטל עין זיוון.gpx,כפילות (הועבר לתיקיית כפילויות),זהה בתוכן ל: G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\2026-01-28_07-56-11_hk_1769579771.gpx
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\הילה- עין טמיר- עין חרדלית- כזיב רגלי.gpx,C:\Users\yairr\GPX_files\הילה- עין טמיר- עין חרדלית- כזיב רגלי.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\2025-04-26_08-30-11_hk_1745645411.gpx,C:\Users\yairr\GPX_files\2025-04-26_08-30-11_hk_1745645411.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\2025-04-25_08-02-24_hk_1745557344.gpx,C:\Users\yairr\GPX_files\2025-04-25_08-02-24_hk_1745557344.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\שביל ישראל מקטע 1.gpx,C:\Users\yairr\GPX_files\שביל ישראל מקטע 1.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטה צבעון חורפיש 2025-04-12 04_24_44.gpx,C:\Users\yairr\GPX_files\הקלטה צבעון חורפיש 2025-04-12 04_24_44.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\Israel National Trail-24-05-26.gpx,C:\Users\yairr\GPX_files\Israel National Trail-24-05-26.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\שביל_ישראל - מקטע 24 - צובה סטף עין כרם.gpx,C:\Users\yairr\GPX_files\שביל_ישראל - מקטע 24 - צובה סטף עין כרם.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\2025-05-15_09-21-31_hk_1747290091.gpx,C:\Users\yairr\GPX_files\2025-05-15_09-21-31_hk_1747290091.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\נקיקי יפתח מצודת כוח קרן נפתלי.gpx,C:\Users\yairr\GPX_files\נקיקי יפתח מצודת כוח קרן נפתלי.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\חרבת חממה - חניון הפיתול ניר.gpx,C:\Users\yairr\GPX_files\חרבת חממה - חניון הפיתול ניר.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\בית חנניה לנחל תנינים.gpx,C:\Users\yairr\GPX_files\בית חנניה לנחל תנינים.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\הקלטה חירבת חממה -חניון העיקול מירון.gpx.gpx,C:\Users\yairr\GPX_files\הקלטה חירבת חממה -חניון העיקול מירון.gpx.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\חירבת רקית הר שוקף עוספיא.gpx,C:\Users\yairr\GPX_files\חירבת רקית הר שוקף עוספיא.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\2025-10-17_הקלטה חניון הפיתול שמורת נחל עמוד.gpx,C:\Users\yairr\GPX_files\2025-10-17_הקלטה חניון הפיתול שמורת נחל עמוד.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\עתידים - פרק אפק מקורות הירקון.gpx,C:\Users\yairr\GPX_files\עתידים - פרק אפק מקורות הירקון.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\שביל ישראל צבעון_ח_חממה_מורן_חורפיש.gpx,C:\Users\yairr\GPX_files\שביל ישראל צבעון_ח_חממה_מורן_חורפיש.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\שביל_ישראל - מקטע 24 - צובה סטף עין כרם.gpx,C:\Users\yairr\GPX_files\כפילויות\שביל_ישראל - מקטע 24 - צובה סטף עין כרם.gpx,כפילות (הועבר לתיקיית כפילויות),זהה בתוכן ל: G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\שביל_ישראל - מקטע 24 - צובה סטף עין כרם.gpx
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\2025-05-03_חרבת חממה שביל הפסגה חניון הפיתול.gpx,C:\Users\yairr\GPX_files\2025-05-03_חרבת חממה שביל הפסגה חניון הפיתול.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\2025-10-25 עין הוד מצפה עופר.gpx,C:\Users\yairr\GPX_files\2025-10-25 עין הוד מצפה עופר.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\תכנון\תכ_חורבת רקית חניון נחל אורן תחתון.gpx,C:\Users\yairr\GPX_files\תכ_חורבת רקית חניון נחל אורן תחתון.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\תכנון\חרבת חממה - חניון הפיתול ניר.gpx,C:\Users\yairr\GPX_files\כפילויות\חרבת חממה - חניון הפיתול ניר.gpx,כפילות (הועבר לתיקיית כפילויות),זהה בתוכן ל: G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\חרבת חממה - חניון הפיתול ניר.gpx
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\תכנון\חממה פיתול מניר.gpx,C:\Users\yairr\GPX_files\חממה פיתול מניר.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\תכנון\תכנון ניר  חניון עיקול חניון עמוד.gpx,C:\Users\yairr\GPX_files\תכנון ניר  חניון עיקול חניון עמוד.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\תכנון\עין הוד יער עופר שביל ישראל.gpx,C:\Users\yairr\GPX_files\עין הוד יער עופר שביל ישראל.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\תכנון\תכנון שביל הפסגה חרבת חממה נחל נריה.gpx,C:\Users\yairr\GPX_files\תכנון שביל הפסגה חרבת חממה נחל נריה.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\מקטעי שביל ישראל gpx\מקטע דרומי חדש\שביל_ישראל החדש - מקטע 1 - אתר השטח.gpx,C:\Users\yairr\GPX_files\שביל_ישראל החדש - מקטע 1 - אתר השטח.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\מקטעי שביל ישראל gpx\מקטע מרכזי\שביל_ישראל - מקטע 16_בית חנניה - קיסריה.gpx,C:\Users\yairr\GPX_files\שביל_ישראל - מקטע 16_בית חנניה - קיסריה.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\מקטעי שביל ישראל gpx\מקטע מרכזי\שביל_ישראל - מקטע 15 -.gpx,C:\Users\yairr\GPX_files\כפילויות\שביל_ישראל - מקטע 15 -.gpx,כפילות (הועבר לתיקיית כפילויות),זהה בתוכן ל: G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\הקלטות שביל ישראל\הקלטה\בית חנניה לנחל תנינים.gpx
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\טיולי שביל ישראל\מקטעי שביל ישראל gpx\מקטע מרכזי\תכנון_בית-חנניה-קיסריה.gpx,C:\Users\yairr\GPX_files\תכנון_בית-חנניה-קיסריה.gpx,הועבר,
