שם ישן,שם חדש,השתנה?,הערה
2013-08-30_יחיעם_כברי_עין יעקב.gpx,2013-08-30_געתון_כברי_עין יעקב.gpx,True,
2013-09-03_מעונה_אבירים_מעיליא.gpx,2013-09-03_מעונה_אבירים_מעיליא.gpx,False,
2013-09-04_יחיעם_שייח' דנון_עין יעקב.gpx,2013-09-04_געתון_שייח' דנון_עין יעקב.gpx,True,
2013-09-05_יחיעם_געתון.gpx,2013-09-05_געתון_געתון.gpx,True,
2013-09-07_יחיעם_געתון_שבי ציון_מזרעה.gpx,2013-09-07_געתון_געתון_שבי ציון_מזרעה.gpx,True,
2013-09-10_נהרייה_עכו_מזרעה.gpx,2013-09-10_נהרייה_עכו_מזרעה.gpx,False,
2013-09-12_יחיעם_מעיליא_געתון.gpx,2013-09-12_געתון_מעיליא_געתון.gpx,True,
2013-09-13_געתון_כברי_יחיעם.gpx,2013-09-13_געתון_כברי_יחיעם.gpx,False,
2013-09-14_יחיעם_מזרעה_קריית ים_בוסתן הגליל_נווה זיו.gpx,2013-09-14_געתון_מזרעה_קריית ים_בוסתן הגליל_נווה זיו.gpx,True,
2013-09-18_יחיעם_אבירים_נהרייה.gpx,2013-09-18_געתון_אבירים_נהרייה.gpx,True,
2013-09-19_יחיעם_מעיליא_געתון.gpx,2013-09-19_געתון_מעיליא_געתון.gpx,True,
2013-09-20_כברי_גורן_מצובה.gpx,2013-09-20_כברי_גורן_מצובה.gpx,False,
2013-09-21_געתון_כברי_כפר ראש הנקרה_מזרעה_יחיעם.gpx,2013-09-21_געתון_כברי_כפר ראש הנקרה_מזרעה_יחיעם.gpx,False,
2013-09-23_געתון_מעונה_יחיעם.gpx,2013-09-23_געתון_מעונה_יחיעם.gpx,False,
2013-09-25_יחיעם_מעיליא_געתון.gpx,2013-09-25_געתון_מעיליא_געתון.gpx,True,
2013-09-26_עין יעקב_כברי_יחיעם.gpx,2013-09-26_עין יעקב_כברי_יחיעם.gpx,False,
2013-09-27_גילון_טל-אל_פלך.gpx,2013-09-27_גילון_טל-אל_פלך.gpx,False,
2013-09-28_געתון_נתיב השיירה_שבי ציון_נווה זיו_יחיעם.gpx,2013-09-28_געתון_נתיב השיירה_שבי ציון_נווה זיו_יחיעם.gpx,False,
2013-10-01_יחיעם_נווה זיו_געתון.gpx,2013-10-01_געתון_נווה זיו_געתון.gpx,True,
2013-10-02_געתון_מעיליא_יחיעם.gpx,2013-10-02_געתון_מעיליא_יחיעם.gpx,False,
2013-10-04_חד-נס_גונן_כפר גלעדי.gpx,2013-10-04_חד-נס_גונן_כפר גלעדי.gpx,False,
2013-10-06_געתון_מעונה_יחיעם.gpx,2013-10-06_געתון_מעונה_יחיעם.gpx,False,
2013-10-06_יחיעם_עין יעקב_געתון.gpx,2013-10-06_געתון_עין יעקב_געתון.gpx,True,
2013-10-09_יחיעם_געתון.gpx,2013-10-09_געתון_געתון.gpx,True,
2013-10-11_יחיעם_כפר ראש הנקרה_נהרייה.gpx,2013-10-11_געתון_כפר ראש הנקרה_נהרייה.gpx,True,
2013-10-12_געתון_הילה_כפר ראש הנקרה_מזרעה_שמרת.gpx,2013-10-12_געתון_הילה_כפר ראש הנקרה_מזרעה_שמרת.gpx,False,
2015-07-06_געתון_יחיעם.gpx,2015-07-06_געתון_יחיעם.gpx,False,
2015-12-03_געתון_מעונה_יחיעם.gpx,2015-12-03_געתון_מעונה_יחיעם.gpx,False,
2015-12-04_כפר מסריק_הרדוף_כפר יהושע_קריית אתא_עין המפרץ.gpx,2015-12-04_כפר מסריק_הרדוף_כפר יהושע_קריית אתא_עין המפרץ.gpx,False,
2016-09-09_אלונים_שער העמקים_רמת ישי.gpx,2016-09-09_אלונים_שער העמקים_רמת ישי.gpx,False,
2017-06-20_תל אביב -יפו_בני ברק.gpx,2017-06-20_תל אביב-יפו_בני ברק.gpx,True,
2019-04-12_אליפז.gpx,2019-04-12_אליפז.gpx,False,
2021-07-26_יחיעם_געתון.gpx,2021-07-26_געתון_געתון.gpx,True,
2021-07-29_יחיעם_געתון.gpx,2021-07-29_געתון_געתון.gpx,True,
2021-08-01_יחיעם_געתון.gpx,2021-08-01_געתון_געתון.gpx,True,
2021-08-03_יחיעם_געתון.gpx,2021-08-03_געתון_געתון.gpx,True,
2021-08-04_יחיעם_געתון.gpx,2021-08-04_געתון_געתון.gpx,True,
2021-08-06_יחיעם_געתון.gpx,2021-08-06_געתון_געתון.gpx,True,
2021-09-05_יחיעם_כליל_געתון.gpx,2021-09-05_געתון_כליל_געתון.gpx,True,
2021-09-07_יחיעם_געתון.gpx,2021-09-07_געתון_געתון.gpx,True,
2021-09-08_יחיעם_נווה זיו_געתון.gpx,2021-09-08_געתון_נווה זיו_געתון.gpx,True,
2021-09-09_יחיעם_געתון.gpx,2021-09-09_געתון_געתון.gpx,True,
2021-09-10_יחיעם_כליל_געתון.gpx,2021-09-10_געתון_כליל_געתון.gpx,True,
2021-09-12_יחיעם_נווה זיו_געתון.gpx,2021-09-12_געתון_נווה זיו_געתון.gpx,True,
2021-09-14_יחיעם_נווה זיו_געתון.gpx,2021-09-14_געתון_נווה זיו_געתון.gpx,True,
2021-09-16_יחיעם_נווה זיו_געתון.gpx,2021-09-16_געתון_נווה זיו_געתון.gpx,True,
2021-09-17_יחיעם_כליל_געתון.gpx,2021-09-17_געתון_כליל_געתון.gpx,True,
2021-09-24_יחיעם_כליל_געתון.gpx,2021-09-24_געתון_כליל_געתון.gpx,True,
2021-09-26_יחיעם_נווה זיו_געתון.gpx,2021-09-26_געתון_נווה זיו_געתון.gpx,True,
2021-10-03_יחיעם_געתון.gpx,2021-10-03_געתון_געתון.gpx,True,
2021-10-06_יחיעם_געתון.gpx,2021-10-06_געתון_געתון.gpx,True,
2021-10-30_יחיעם_כליל_געתון.gpx,2021-10-30_געתון_כליל_געתון.gpx,True,
2021-11-01_יחיעם_כליל_געתון.gpx,2021-11-01_געתון_כליל_געתון.gpx,True,
2021-11-03_יחיעם_כליל_געתון.gpx,2021-11-03_געתון_כליל_געתון.gpx,True,
2021-11-05_יחיעם_כליל_געתון.gpx,2021-11-05_געתון_כליל_געתון.gpx,True,
2021-11-08_נווה זוהר.gpx,2021-11-08_נווה זוהר.gpx,False,
2021-11-09_נווה זוהר.gpx,2021-11-09_נווה זוהר.gpx,False,
2021-11-10_נווה זוהר.gpx,2021-11-10_נווה זוהר.gpx,False,
2021-11-11_נווה זוהר.gpx,2021-11-11_נווה זוהר.gpx,False,
2021-11-19_יחיעם_נווה זיו_געתון.gpx,2021-11-19_געתון_נווה זיו_געתון.gpx,True,
2021-11-22_יחיעם_נווה זיו_געתון.gpx,2021-11-22_געתון_נווה זיו_געתון.gpx,True,
2021-11-23_יחיעם_נווה זיו_געתון.gpx,2021-11-23_געתון_נווה זיו_געתון.gpx,True,
2021-11-27_יחיעם_מעונה.gpx,2021-11-27_געתון_מעונה.gpx,True,
2021-11-28_יחיעם_כליל_געתון.gpx,2021-11-28_געתון_כליל_געתון.gpx,True,
2021-12-03_יחיעם_כליל_געתון.gpx,2021-12-03_געתון_כליל_געתון.gpx,True,
2021-12-05_כפר מסריק_עין המפרץ.gpx,2021-12-05_כפר מסריק_עין המפרץ.gpx,False,
2021-12-08_יחיעם_כליל_געתון.gpx,2021-12-08_געתון_כליל_געתון.gpx,True,
2021-12-09_יחיעם_נווה זיו_געתון.gpx,2021-12-09_געתון_נווה זיו_געתון.gpx,True,
2021-12-10_יחיעם_כליל_געתון.gpx,2021-12-10_געתון_כליל_געתון.gpx,True,
2021-12-13_נווה זוהר.gpx,2021-12-13_נווה זוהר.gpx,False,
2021-12-14_נווה זוהר.gpx,2021-12-14_נווה זוהר.gpx,False,
2021-12-15_נווה זוהר.gpx,2021-12-15_נווה זוהר.gpx,False,
2021-12-16_נווה זוהר.gpx,2021-12-16_נווה זוהר.gpx,False,
2021-12-21_יחיעם_נווה זיו_געתון.gpx,2021-12-21_געתון_נווה זיו_געתון.gpx,True,
2021-12-29_יחיעם_נווה זיו_געתון.gpx,2021-12-29_געתון_נווה זיו_געתון.gpx,True,
2022-01-02_יחיעם_געתון.gpx,2022-01-02_געתון_געתון.gpx,True,
2022-01-04_יחיעם_נווה זיו_געתון.gpx,2022-01-04_געתון_נווה זיו_געתון.gpx,True,
2022-01-14_יחיעם_נווה זיו_געתון.gpx,2022-01-14_געתון_נווה זיו_געתון.gpx,True,
2022-01-15_יחיעם_נווה זיו_געתון.gpx,2022-01-15_געתון_נווה זיו_געתון.gpx,True,
