שם נוכחי,שם מוצע,השתנה?,"אורך (ק""מ)",מעגלי?
2021-11-03_געתון_יחיעם.gpx,2021-11-03_יחיעם_כליל_געתון.gpx,True,11.7,True
2021-11-05_געתון_יחיעם.gpx,2021-11-05_יחיעם_כליל_געתון.gpx,True,11.7,True
2021-11-08_נווה זוהר_ערד.gpx,2021-11-08_נווה זוהר.gpx,True,15.5,True
2021-11-09_נווה זוהר_ערד.gpx,2021-11-09_נווה זוהר.gpx,True,15.4,True
2021-11-10_נווה זוהר_ערד.gpx,2021-11-10_נווה זוהר.gpx,True,15.4,True
2021-11-11_נווה זוהר_ערד.gpx,2021-11-11_נווה זוהר.gpx,True,13.9,True
2021-11-19_געתון_יחיעם.gpx,2021-11-19_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2021-11-22_געתון_יחיעם.gpx,2021-11-22_יחיעם_נווה זיו_געתון.gpx,True,11.9,True
2021-11-23_געתון_יחיעם.gpx,2021-11-23_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2021-11-27_מעיליא_געתון_נווה זיו.gpx,2021-11-27_יחיעם_מעונה.gpx,True,13.5,False
2021-11-28_געתון_יחיעם.gpx,2021-11-28_יחיעם_כליל_געתון.gpx,True,12.7,True
2021-12-03_יחיעם_געתון.gpx,2021-12-03_יחיעם_כליל_געתון.gpx,True,13.1,True
2021-12-05_כפר מסריק_עין המפרץ.gpx,2021-12-05_כפר מסריק_עין המפרץ.gpx,False,5.1,True
2021-12-08_געתון_יחיעם.gpx,2021-12-08_יחיעם_כליל_געתון.gpx,True,12.5,True
2021-12-09_געתון_יחיעם.gpx,2021-12-09_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2021-12-10_געתון_יחיעם.gpx,2021-12-10_יחיעם_כליל_געתון.gpx,True,11.1,True
2021-12-13_נווה זוהר_ערד.gpx,2021-12-13_נווה זוהר.gpx,True,12.6,True
2021-12-14_נווה זוהר_ערד.gpx,2021-12-14_נווה זוהר.gpx,True,19.2,True
2021-12-15_נווה זוהר_ערד.gpx,2021-12-15_נווה זוהר.gpx,True,10.5,True
2021-12-16_נווה זוהר_ערד.gpx,2021-12-16_נווה זוהר.gpx,True,15.3,True
2021-12-21_געתון_יחיעם.gpx,2021-12-21_יחיעם_נווה זיו_געתון.gpx,True,12.1,True
2021-12-29_געתון_יחיעם.gpx,2021-12-29_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-01-02_געתון_יחיעם.gpx,2022-01-02_יחיעם_געתון.gpx,True,10.4,True
2022-01-04_געתון_יחיעם.gpx,2022-01-04_יחיעם_נווה זיו_געתון.gpx,True,11.8,True
2022-01-14_געתון_יחיעם.gpx,2022-01-14_יחיעם_נווה זיו_געתון.gpx,True,11.9,True
2022-01-15_געתון_יחיעם.gpx,2022-01-15_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-01-17_נווה זוהר_ערד.gpx,2022-01-17_נווה זוהר.gpx,True,15.5,True
2022-01-18_נווה זוהר_ערד.gpx,2022-01-18_נווה זוהר.gpx,True,21.2,True
2022-01-19_נווה זוהר_ערד.gpx,2022-01-19_נווה זוהר.gpx,True,17.4,True
2022-01-21_געתון_יחיעם.gpx,2022-01-21_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-01-29_געתון_יחיעם.gpx,2022-01-29_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-01-30_געתון_יחיעם.gpx,2022-01-30_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-02-01_געתון_יחיעם.gpx,2022-02-01_יחיעם_נווה זיו_געתון.gpx,True,9.0,True
2022-02-02_געתון_יחיעם.gpx,2022-02-02_יחיעם_נווה זיו_געתון.gpx,True,12.1,True
2022-02-11_געתון_כברי_לימן.gpx,2022-02-11_געתון_נהרייה_כפר ראש הנקרה_כברי_יחיעם.gpx,True,41.2,False
2022-02-16_געתון_יחיעם.gpx,2022-02-16_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-02-17_עין המפרץ_כפר מסריק.gpx,2022-02-17_כפר מסריק_עין המפרץ.gpx,True,11.7,True
2022-02-18_געתון_כברי_גשר הזיו.gpx,2022-02-18_יחיעם_גשר הזיו_געתון.gpx,True,31.4,True
2022-02-19_געתון_יחיעם.gpx,2022-02-19_יחיעם_נווה זיו_געתון.gpx,True,20.0,True
2022-02-22_געתון_יחיעם.gpx,2022-02-22_יחיעם_כברי_געתון.gpx,True,17.6,True
2022-02-23_געתון_יחיעם.gpx,2022-02-23_יחיעם_נווה זיו_געתון.gpx,True,12.7,True
2022-02-24_עין המפרץ_כפר מסריק.gpx,2022-02-24_כפר מסריק_עין המפרץ.gpx,True,15.0,True
2022-02-27_געתון_יחיעם.gpx,2022-02-27_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-02-28_געתון_כברי_לימן.gpx,2022-02-28_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,True,44.1,True
2022-03-01_געתון_יחיעם.gpx,2022-03-01_יחיעם_נווה זיו_געתון.gpx,True,9.0,True
2022-03-04_געתון_כברי_יחיעם.gpx,2022-03-04_יחיעם_גשר הזיו_געתון.gpx,True,27.3,True
2022-03-05_מעונה_מעיליא_אבירים.gpx,2022-03-05_מעונה_אבירים_מעיליא.gpx,True,5.2,True
2022-03-07_נווה זוהר_ערד.gpx,2022-03-07_נווה זוהר.gpx,True,13.7,True
2022-03-08_נווה זוהר_ערד.gpx,2022-03-08_נווה זוהר.gpx,True,18.0,True
2022-03-10_נווה זוהר_ערד.gpx,2022-03-10_נווה זוהר.gpx,True,21.6,True
2022-03-25_געתון_יחיעם.gpx,2022-03-25_יחיעם_נווה זיו_געתון.gpx,True,8.9,True
2022-04-01_געתון_יחיעם.gpx,2022-04-01_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-04-02_געתון_מעיליא_נווה זיו.gpx,2022-04-02_יחיעם_מעונה.gpx,True,13.6,False
2022-04-03_געתון_יחיעם.gpx,2022-04-03_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
