שם מקורי,שם חדש,סטטוס,הערה
0000-00-00_עין יעקב_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_עין יעקב_כברי_געתון.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_עין יעקב_כברי_געתון_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_עין יעקב_מעונה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_עין יעקב_מעונה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_עין קנייא_שניר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_ערד.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_ערד_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_ערד_2.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_ערד_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_ערד_נווה זוהר_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_פארן_יהל_שחרות.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_פוקהרה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_פוקהרה_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_צבעון_חורפיש.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_צובה_מטע.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_צפת_כפר שמאי.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_רמות נפתלי_יפתח.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_שבלי-אום אל-גנם.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_שדה אליעזר_עלמה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_שדה בוקר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_שדה בוקר_אשלים.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_שחרות_אליפז_אילת.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_שייח' דנון_כליל_כסרא-סמיע_יחיעם_עמקה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_שלומי_חניתה_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_שלומי_יערה_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_תל אביב-יפו_אזור_גבעת כח_עדנים_בני ברק.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_תל אביב-יפו_בת ים.gpx,,לא שונה - כבר יש שם משמעותי,
2013-04-13_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-04-18_טבריה_מגדל_כפר חיטים.gpx,,לא שונה - כבר יש שם משמעותי,
2013-04-19_בר יוחאי_ברעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-04-20_טבריה_פורייה עילית_פורייה - נווה עובד.gpx,,לא שונה - כבר יש שם משמעותי,
2013-04-26_געתון_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-04-27_כברי_שמרת.gpx,,לא שונה - כבר יש שם משמעותי,
2013-05-04_נהרייה_כפר ראש הנקרה_סער.gpx,,לא שונה - כבר יש שם משמעותי,
2013-05-11_געתון_נווה זיו_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-05-14_געתון_מעונה_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-05-17_געתון_נהרייה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-06-06_געתון_נווה זיו_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-06-08_געתון_בוסתן הגליל_שמרת.gpx,,לא שונה - כבר יש שם משמעותי,
2013-06-12_נהרייה_כפר ראש הנקרה_סער.gpx,,לא שונה - כבר יש שם משמעותי,
2013-06-14_געתון_נהרייה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-06-15_שבי ציון_כפר ראש הנקרה_מזרעה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-06-19_כברי_חניתה_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
